KEY,EMG,IMU
<<<<<<< Updated upstream
3000,420,19.58
3000,399,5.32
3000,397,19.91
3000,448,19.58
3000,249,19.58
3000,304,19.58
3000,407,21.89
3000,438,5.32
3000,194,27.76
3000,420,19.93
3000,447,19.93
3000,442,19.58
3004,424,5.32
3009,414,19.93
3010,423,26.56
3012,214,19.93
3016,441,19.5
3017,414,19.58
3018,425,19.32
3019,425,2.01
3020,405,19.93
3021,400,26.64
3022,405,19.58
3023,400,5.32
3024,281,19.94
3025,261,14.9
3026,417,5.48
3027,235,19.58
3028,430,19.58
3029,272,24.98
3030,254,19.93
3031,242,19.93
3032,421,5.32
3033,420,19.58
3034,431,5.32
3035,429,19.58
3036,445,5.32
3037,438,24.98
3038,431,19.91
3039,434,19.91
3040,423,19.5
3041,441,19.91
3042,442,19.58
3043,399,24.99
3044,444,19.58
3045,444,5.32
3046,446,5.32
3047,408,5.32
3048,403,27.76
3049,448,19.58
3050,424,24.99
3051,260,0.0
3052,400,4.9
3053,404,5.32
3054,445,19.58
3055,286,24.98
3056,436,19.58
3057,437,24.98
3058,445,19.33
3059,419,27.76
3060,422,5.32
3061,425,5.32
3062,204,19.58
3063,442,5.32
3064,444,19.58
3065,181,24.27
3066,425,19.58
3067,421,9.33
3068,424,19.91
3069,432,5.32
3070,436,19.93
3071,431,19.58
3072,399,19.93
3073,420,17.7
3074,232,5.32
3075,423,5.99
3076,399,19.32
3077,395,19.93
3078,422,5.99
3079,423,19.58
3080,447,19.93
3081,447,4.9
3082,442,19.3
3083,198,19.58
3084,423,24.98
3085,419,26.64
3086,421,21.83
3087,421,19.93
3088,447,27.76
3089,448,19.58
3090,419,18.37
3091,406,19.91
3092,323,5.32
3093,248,12.05
3094,424,19.58
3095,241,5.32
3096,442,5.32
3097,442,26.54
3098,401,24.98
3099,405,5.32
3100,438,10.4
3101,442,0.0
3102,450,19.94
3103,271,5.32
3104,328,5.32
3105,283,19.91
3106,236,24.98
3107,447,5.32
3108,431,5.32
3109,418,21.97
3110,208,5.32
3111,255,19.92
3112,444,5.32
3113,447,26.54
3114,445,2.45
3115,448,17.71
3116,441,24.98
3117,443,18.26
3118,399,5.32
3119,400,19.58
3120,422,19.58
3121,211,19.58
3122,428,19.93
3123,442,19.3
3124,204,19.58
3125,452,19.92
3126,420,19.91
3127,197,27.29
3128,437,19.58
3129,432,19.58
3130,293,26.52
3131,258,19.58
3132,405,5.32
3133,421,19.93
3134,442,19.9
3135,420,19.93
3136,433,19.9
3137,442,19.91
3138,441,26.53
3139,434,5.32
3140,427,19.88
3141,398,6.89
3142,443,10.4
3143,428,5.32
3144,448,4.9
3145,447,5.69
3146,411,27.76
3147,427,5.32
3148,232,12.05
3149,448,19.32
3150,426,27.76
3151,260,19.58
3152,407,19.58
3153,398,19.58
3154,198,19.93
3155,419,19.48
3156,428,19.58
3157,420,19.58
3158,427,21.95
3159,429,14.7
3160,419,26.54
3161,421,19.58
3162,420,19.58
3163,447,19.33
3164,446,5.32
3165,421,19.58
3166,431,5.32
3167,443,5.48
3168,453,4.9
3169,450,19.32
3170,443,19.93
3171,357,19.93
3172,449,10.4
3173,444,5.48
3174,398,12.61
3175,398,24.98
3176,402,5.32
3177,401,5.32
3178,430,5.32
3179,431,19.92
3180,445,19.58
3181,420,19.29
3182,422,19.58
3183,448,19.32
3184,447,10.4
3185,421,19.58
3186,428,19.93
3187,442,4.9
3188,449,5.48
3189,448,26.64
3190,443,5.48
3191,444,19.58
3192,445,19.91
3193,409,19.58
3194,446,10.4
3195,446,27.78
3196,410,19.9
3197,400,18.37
3198,435,19.58
3199,422,4.9
3200,266,27.76
3201,254,5.32
3202,318,5.32
3203,400,7.3
3204,405,5.32
3205,419,19.93
3206,431,19.58
3207,430,19.91
3208,441,26.52
3209,446,5.32
3210,446,26.64
3211,438,19.9
3212,442,5.32
3213,443,19.93
3214,446,19.58
3215,441,19.58
3216,449,26.66
3217,446,5.32
3218,451,19.93
3219,442,19.93
3220,446,19.92
3221,439,5.32
3222,408,19.58
3223,397,19.31
3224,402,14.7
3225,400,19.58
3226,246,5.69
3227,418,19.58
3228,208,4.9
3229,417,12.04
3230,309,26.52
3231,260,5.32
3232,431,19.58
3233,447,19.93
3234,422,5.32
3235,421,14.9
3236,440,5.32
3237,434,5.32
3238,445,5.99
3239,444,19.58
3240,442,19.93
3241,446,19.5
3242,432,5.32
3243,471,19.58
3244,413,24.27
3245,430,5.32
3246,442,5.48
3247,446,19.58
3248,448,5.32
3249,424,19.58
3250,431,19.93
3251,422,5.32
3252,226,19.93
3253,253,19.92
3254,412,24.27
3255,414,15.84
3256,422,19.9
3257,430,5.32
3258,431,19.58
3259,450,19.58
3260,450,26.63
3261,443,5.32
3262,446,19.58
3263,421,5.32
3264,438,4.9
3265,442,19.58
3266,444,19.58
3267,444,26.66
3268,400,5.32
3269,399,10.68
3270,398,26.66
3271,400,14.41
3272,431,24.98
3273,433,5.48
3274,416,19.91
3275,411,19.88
3276,193,19.58
3277,251,2.45
3278,418,0.0
3279,196,14.41
3280,421,19.93
3281,432,12.05
3282,430,19.58
3283,424,19.58
3284,422,5.32
3285,421,18.2
3286,242,5.32
3287,445,19.58
3288,449,24.98
3289,442,19.58
3290,459,27.75
3291,447,5.32
3292,399,5.32
3293,445,19.91
3294,442,24.99
3295,445,19.93
3296,409,19.58
3297,418,19.58
3298,408,19.91
3299,411,5.48
3300,446,0.03
3301,449,19.58
3302,399,19.32
3303,396,5.48
3304,420,19.58
3305,419,19.58
3306,425,12.05
3307,233,0.22
3308,406,5.32
3309,257,5.32
3310,230,5.32
3311,401,19.33
3312,414,19.93
3313,437,19.58
3314,444,19.33
3315,444,24.26
3316,442,5.32
3317,417,19.91
3318,449,5.32
3319,446,5.32
3320,444,12.05
3321,435,19.94
3322,426,5.32
3323,420,19.58
3324,214,19.93
3325,208,19.58
3326,419,19.9
3327,425,5.32
3328,445,19.58
3329,222,19.58
3330,443,5.32
3331,451,5.32
3332,443,19.91
3333,446,19.58
3334,446,19.58
3335,459,5.32
3336,444,5.32
3337,422,19.58
3338,447,5.32
3339,448,19.58
3340,221,26.64
3341,395,15.84
3342,400,19.58
3343,401,19.58
3344,415,26.56
3345,446,19.93
3346,425,19.93
3347,274,19.93
3348,267,19.92
3349,381,19.93
3350,339,19.32
3351,436,5.32
3352,456,19.92
3353,440,19.91
3354,446,10.4
3355,448,5.32
3356,446,19.3
3357,429,19.93
3358,443,5.32
3359,446,5.32
3360,446,19.33
3361,445,5.32
3362,443,5.32
3363,425,27.76
3364,446,5.32
3365,447,5.32
3366,399,5.32
3367,410,19.93
3368,409,5.32
3369,432,24.99
3370,428,5.48
3371,432,19.93
3372,407,19.58
3373,424,19.58
3374,179,24.98
3375,445,2.45
3376,422,19.58
3377,423,18.2
3378,445,5.32
3379,229,19.58
3380,421,19.93
3381,421,19.3
3382,445,26.66
3383,423,5.32
3384,448,26.66
3385,447,19.3
3386,397,5.32
3387,447,5.32
3388,444,26.52
3389,432,19.92
3390,421,12.04
3391,400,26.56
3392,403,19.58
3393,412,18.37
3394,402,19.58
3395,240,19.58
3396,416,24.99
3397,314,19.58
3398,400,5.32
3399,420,19.93
3400,419,19.58
3401,420,5.32
3402,428,19.58
3403,439,26.66
3404,421,19.93
3405,445,22.86
3406,447,0.01
3407,440,5.32
3408,448,24.98
3409,447,19.58
3410,439,5.48
3411,445,19.32
3412,452,19.58
3413,440,24.99
3414,442,18.26
3415,447,19.58
3416,194,19.58
3417,401,19.32
3418,411,19.31
3419,417,19.58
3420,409,27.76
3421,425,5.32
3422,421,19.58
3423,420,19.92
3424,421,19.94
3425,269,5.32
3426,415,19.93
3427,277,26.64
3428,411,5.32
3429,417,5.32
3430,254,5.32
3431,434,19.93
3432,449,14.41
3433,445,10.4
3434,443,5.32
3435,447,19.58
3436,413,5.32
3437,445,5.32
3438,444,19.93
3439,445,14.7
3440,407,19.58
3441,400,19.58
3442,404,24.98
3443,414,18.26
3444,434,5.32
3445,438,5.32
3446,406,24.26
3447,407,19.93
3448,405,0.15
3448,422,19.58
3450,400,0.0
3451,241,5.32
3452,331,24.27
3453,297,5.32
3454,336,26.64
3455,310,19.58
3456,443,19.91
3457,446,12.04
3458,443,19.29
3459,447,27.76
3460,431,5.99
3461,432,5.32
3462,451,5.32
3463,450,19.58
3464,448,10.4
3465,445,27.76
3466,447,19.58
3467,436,5.32
3468,443,10.4
3469,442,19.93
3470,447,19.58
3471,427,19.93
3472,403,19.58
3473,432,19.48
3474,399,19.93
3475,400,19.58
3476,445,5.32
3477,406,27.72
3478,412,0.0
3479,433,14.7
3480,264,19.58
3481,225,0.21
3482,447,19.5
3483,420,19.91
3484,324,5.32
3485,448,5.32
3486,446,26.64
3487,399,19.58
3488,449,26.64
3489,447,19.93
3490,443,19.58
3491,452,26.58
3492,437,19.58
3493,421,10.4
3494,410,19.93
3495,431,12.04
3496,443,5.32
3497,447,5.32
3498,444,21.93
3499,442,19.58
3500,447,26.64
3501,404,19.3
3502,422,19.58
3503,421,19.58
3504,437,0.15
3505,198,26.57
3506,192,19.91
3506,445,19.58
3508,441,5.32
3509,453,19.58
3510,446,4.9
3511,444,19.93
3512,442,26.56
3513,441,5.32
3514,444,19.91
3515,447,12.05
3516,392,19.91
3517,435,5.32
3518,406,19.58
3519,422,5.32
3520,413,19.58
3521,408,19.93
3522,207,19.91
3523,409,5.32
3524,430,19.93
3525,419,19.58
3526,254,19.91
3527,434,19.93
3528,435,27.76
3529,442,5.32
3530,447,5.32
3531,442,5.32
3532,207,25.09
3533,297,0.49
3534,409,19.3
3535,409,19.58
3536,401,5.32
3537,405,5.32
3538,458,24.98
3539,444,26.56
3540,444,19.93
3541,443,26.52
3542,448,5.32
3543,447,19.58
3544,403,12.05
3545,419,19.32
3546,402,5.32
3547,401,12.05
3548,431,19.93
3549,449,19.92
3550,445,19.58
3551,410,5.32
3552,409,12.05
3553,153,19.58
3554,437,19.91
3555,284,14.9
3556,419,19.93
3557,430,19.58
3558,442,5.32
3559,441,5.32
3560,446,19.58
3561,399,4.9
3562,401,19.58
3563,444,0.03
3564,446,19.58
3565,257,26.66
3566,400,5.32
3567,404,2.45
3568,450,19.34
3569,447,19.93
3570,449,12.05
3571,401,19.58
3572,406,17.59
3573,443,19.58
3574,322,19.58
3575,424,19.58
3576,359,19.58
3577,401,26.66
3578,412,19.58
3579,191,5.32
3580,419,19.92
3581,443,5.32
3582,434,19.91
3583,450,19.58
3584,421,5.32
